strategy_id,stage,strategy_preset,bull_weight,consolidation_weight,bear_weight,min_regime_bars,rebalance_threshold,max_weight_step,transition_cooldown_bars,final_equity_regime,final_equity_buy_hold,excess_final_equity,cagr_regime,cagr_buy_hold,excess_cagr,total_return_regime,total_return_buy_hold,max_drawdown_regime,max_drawdown_buy_hold,sharpe_regime,sharpe_buy_hold,trade_count,annual_trade_count,transition_triggered_trade_count,total_turnover,turnover_to_initial_cash,total_fees_paid,avg_spot_weight,years,beats_buy_hold,drawdown_not_worse,risk_overlay
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step0.50_cool3,management,custom_weights,0.75,0.25,0.1,12,0.3,0.5,3,129489.52508489076,185782.11581976915,-56292.590734878395,0.07254683947574936,0.1827737823597011,-0.11022694288395174,0.29489525084890755,0.8578211581976916,-0.5808930205531209,-0.7704339319608702,0.39520193285344135,0.5822801517680759,92,24.93255785175102,0,5269182.9120659605,52.691829120659605,2634.59145603298,0.3577945735720888,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step0.50_cool6,management,custom_weights,0.75,0.25,0.1,12,0.3,0.5,6,129489.52508489076,185782.11581976915,-56292.590734878395,0.07254683947574936,0.1827737823597011,-0.11022694288395174,0.29489525084890755,0.8578211581976916,-0.5808930205531209,-0.7704339319608702,0.39520193285344135,0.5822801517680759,92,24.93255785175102,0,5269182.9120659605,52.691829120659605,2634.59145603298,0.3577945735720888,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step0.50_cool12,management,custom_weights,0.75,0.25,0.1,12,0.3,0.5,12,129489.52508489076,185782.11581976915,-56292.590734878395,0.07254683947574936,0.1827737823597011,-0.11022694288395174,0.29489525084890755,0.8578211581976916,-0.5808930205531209,-0.7704339319608702,0.39520193285344135,0.5822801517680759,92,24.93255785175102,0,5269182.9120659605,52.691829120659605,2634.59145603298,0.3577945735720888,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step1.00_cool0,management,custom_weights,0.75,0.25,0.1,12,0.3,1.0,0,127216.22159974347,185782.11581976915,-58565.894220025686,0.06741093947554933,0.1827737823597011,-0.11536284288415177,0.2721622159974346,0.8578211581976916,-0.6191875803372346,-0.7704339319608702,0.37156100280990517,0.5822801517680759,92,24.93255785175102,0,6305525.996665616,63.05525996665616,3152.762998332808,0.3375972903046566,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step1.00_cool3,management,custom_weights,0.75,0.25,0.1,12,0.3,1.0,3,127216.22159974347,185782.11581976915,-58565.894220025686,0.06741093947554933,0.1827737823597011,-0.11536284288415177,0.2721622159974346,0.8578211581976916,-0.6191875803372346,-0.7704339319608702,0.37156100280990517,0.5822801517680759,92,24.93255785175102,0,6305525.996665616,63.05525996665616,3152.762998332808,0.3375972903046566,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step1.00_cool6,management,custom_weights,0.75,0.25,0.1,12,0.3,1.0,6,127216.22159974347,185782.11581976915,-58565.894220025686,0.06741093947554933,0.1827737823597011,-0.11536284288415177,0.2721622159974346,0.8578211581976916,-0.6191875803372346,-0.7704339319608702,0.37156100280990517,0.5822801517680759,92,24.93255785175102,0,6305525.996665616,63.05525996665616,3152.762998332808,0.3375972903046566,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m12_th0.30_step1.00_cool12,management,custom_weights,0.75,0.25,0.1,12,0.3,1.0,12,127216.22159974347,185782.11581976915,-58565.894220025686,0.06741093947554933,0.1827737823597011,-0.11536284288415177,0.2721622159974346,0.8578211581976916,-0.6191875803372346,-0.7704339319608702,0.37156100280990517,0.5822801517680759,92,24.93255785175102,0,6305525.996665616,63.05525996665616,3152.762998332808,0.3375972903046566,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step0.25_cool0,management,custom_weights,0.75,0.25,0.1,18,0.05,0.25,0,182656.30020080315,185782.11581976915,-3125.8156189660076,0.17734726257513644,0.1827737823597011,-0.005426519784564654,0.8265630020080315,0.8578211581976916,-0.45266025409954536,-0.7704339319608702,0.7177546937996784,0.5822801517680759,190,51.49115208513798,0,6170509.618220756,61.705096182207555,3085.254809110378,0.34559023499992353,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step0.25_cool3,management,custom_weights,0.75,0.25,0.1,18,0.05,0.25,3,182656.30020080315,185782.11581976915,-3125.8156189660076,0.17734726257513644,0.1827737823597011,-0.005426519784564654,0.8265630020080315,0.8578211581976916,-0.45266025409954536,-0.7704339319608702,0.7177546937996784,0.5822801517680759,190,51.49115208513798,0,6170509.618220756,61.705096182207555,3085.254809110378,0.34559023499992353,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step0.25_cool6,management,custom_weights,0.75,0.25,0.1,18,0.05,0.25,6,182656.30020080315,185782.11581976915,-3125.8156189660076,0.17734726257513644,0.1827737823597011,-0.005426519784564654,0.8265630020080315,0.8578211581976916,-0.45266025409954536,-0.7704339319608702,0.7177546937996784,0.5822801517680759,190,51.49115208513798,0,6170509.618220756,61.705096182207555,3085.254809110378,0.34559023499992353,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step0.25_cool12,management,custom_weights,0.75,0.25,0.1,18,0.05,0.25,12,182656.30020080315,185782.11581976915,-3125.8156189660076,0.17734726257513644,0.1827737823597011,-0.005426519784564654,0.8265630020080315,0.8578211581976916,-0.45266025409954536,-0.7704339319608702,0.7177546937996784,0.5822801517680759,190,51.49115208513798,0,6170509.618220756,61.705096182207555,3085.254809110378,0.34559023499992353,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step0.50_cool0,management,custom_weights,0.75,0.25,0.1,18,0.05,0.5,0,179342.8195370176,185782.11581976915,-6439.296282751544,0.17152052117510652,0.1827737823597011,-0.011253261184594576,0.7934281953701761,0.8578211581976916,-0.45407189617499,-0.7704339319608702,0.7001780682939971,0.5822801517680759,128,34.68877614156664,0,6057036.151236996,60.57036151236996,3028.518075618498,0.345389239220743,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step0.50_cool3,management,custom_weights,0.75,0.25,0.1,18,0.05,0.5,3,179342.8195370176,185782.11581976915,-6439.296282751544,0.17152052117510652,0.1827737823597011,-0.011253261184594576,0.7934281953701761,0.8578211581976916,-0.45407189617499,-0.7704339319608702,0.7001780682939971,0.5822801517680759,128,34.68877614156664,0,6057036.151236996,60.57036151236996,3028.518075618498,0.345389239220743,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step0.50_cool6,management,custom_weights,0.75,0.25,0.1,18,0.05,0.5,6,179342.8195370176,185782.11581976915,-6439.296282751544,0.17152052117510652,0.1827737823597011,-0.011253261184594576,0.7934281953701761,0.8578211581976916,-0.45407189617499,-0.7704339319608702,0.7001780682939971,0.5822801517680759,128,34.68877614156664,0,6057036.151236996,60.57036151236996,3028.518075618498,0.345389239220743,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step0.50_cool12,management,custom_weights,0.75,0.25,0.1,18,0.05,0.5,12,179342.8195370176,185782.11581976915,-6439.296282751544,0.17152052117510652,0.1827737823597011,-0.011253261184594576,0.7934281953701761,0.8578211581976916,-0.45407189617499,-0.7704339319608702,0.7001780682939971,0.5822801517680759,128,34.68877614156664,0,6057036.151236996,60.57036151236996,3028.518075618498,0.345389239220743,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step1.00_cool0,management,custom_weights,0.75,0.25,0.1,18,0.05,1.0,0,174352.90999580387,185782.11581976915,-11429.205823965283,0.16259587365377248,0.1827737823597011,-0.020177908705928616,0.7435290999580386,0.8578211581976916,-0.45408810927343,-0.7704339319608702,0.6733000666846697,0.5822801517680759,99,26.829600296992947,0,5946056.43498606,59.4605643498606,2973.02821749303,0.34436936308566996,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step1.00_cool3,management,custom_weights,0.75,0.25,0.1,18,0.05,1.0,3,174352.90999580387,185782.11581976915,-11429.205823965283,0.16259587365377248,0.1827737823597011,-0.020177908705928616,0.7435290999580386,0.8578211581976916,-0.45408810927343,-0.7704339319608702,0.6733000666846697,0.5822801517680759,99,26.829600296992947,0,5946056.43498606,59.4605643498606,2973.02821749303,0.34436936308566996,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step1.00_cool6,management,custom_weights,0.75,0.25,0.1,18,0.05,1.0,6,174352.90999580387,185782.11581976915,-11429.205823965283,0.16259587365377248,0.1827737823597011,-0.020177908705928616,0.7435290999580386,0.8578211581976916,-0.45408810927343,-0.7704339319608702,0.6733000666846697,0.5822801517680759,99,26.829600296992947,0,5946056.43498606,59.4605643498606,2973.02821749303,0.34436936308566996,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.05_step1.00_cool12,management,custom_weights,0.75,0.25,0.1,18,0.05,1.0,12,174352.90999580387,185782.11581976915,-11429.205823965283,0.16259587365377248,0.1827737823597011,-0.020177908705928616,0.7435290999580386,0.8578211581976916,-0.45408810927343,-0.7704339319608702,0.6733000666846697,0.5822801517680759,99,26.829600296992947,0,5946056.43498606,59.4605643498606,2973.02821749303,0.34436936308566996,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step0.25_cool0,management,custom_weights,0.75,0.25,0.1,18,0.1,0.25,0,182230.34550236672,185782.11581976915,-3551.7703174024355,0.17660256174810907,0.1827737823597011,-0.006171220611592032,0.8223034550236672,0.8578211581976916,-0.4538582213248187,-0.7704339319608702,0.7090838111623805,0.5822801517680759,183,49.594109639896054,0,6082092.849920158,60.820928499201585,3041.046424960079,0.3483742526006126,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step0.25_cool3,management,custom_weights,0.75,0.25,0.1,18,0.1,0.25,3,182230.34550236672,185782.11581976915,-3551.7703174024355,0.17660256174810907,0.1827737823597011,-0.006171220611592032,0.8223034550236672,0.8578211581976916,-0.4538582213248187,-0.7704339319608702,0.7090838111623805,0.5822801517680759,183,49.594109639896054,0,6082092.849920158,60.820928499201585,3041.046424960079,0.3483742526006126,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step0.25_cool6,management,custom_weights,0.75,0.25,0.1,18,0.1,0.25,6,182230.34550236672,185782.11581976915,-3551.7703174024355,0.17660256174810907,0.1827737823597011,-0.006171220611592032,0.8223034550236672,0.8578211581976916,-0.4538582213248187,-0.7704339319608702,0.7090838111623805,0.5822801517680759,183,49.594109639896054,0,6082092.849920158,60.820928499201585,3041.046424960079,0.3483742526006126,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step0.25_cool12,management,custom_weights,0.75,0.25,0.1,18,0.1,0.25,12,182230.34550236672,185782.11581976915,-3551.7703174024355,0.17660256174810907,0.1827737823597011,-0.006171220611592032,0.8223034550236672,0.8578211581976916,-0.4538582213248187,-0.7704339319608702,0.7090838111623805,0.5822801517680759,183,49.594109639896054,0,6082092.849920158,60.820928499201585,3041.046424960079,0.3483742526006126,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step0.50_cool0,management,custom_weights,0.75,0.25,0.1,18,0.1,0.5,0,179345.50631314953,185782.11581976915,-6436.6095066196285,0.1715252775275189,0.1827737823597011,-0.011248504832182205,0.7934550631314952,0.8578211581976916,-0.45461677302011094,-0.7704339319608702,0.6938232986417261,0.5822801517680759,121,32.79173369632471,0,5978066.123954104,59.78066123954104,2989.033061977052,0.3487376705836908,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step0.50_cool3,management,custom_weights,0.75,0.25,0.1,18,0.1,0.5,3,179345.50631314953,185782.11581976915,-6436.6095066196285,0.1715252775275189,0.1827737823597011,-0.011248504832182205,0.7934550631314952,0.8578211581976916,-0.45461677302011094,-0.7704339319608702,0.6938232986417261,0.5822801517680759,121,32.79173369632471,0,5978066.123954104,59.78066123954104,2989.033061977052,0.3487376705836908,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step0.50_cool6,management,custom_weights,0.75,0.25,0.1,18,0.1,0.5,6,179345.50631314953,185782.11581976915,-6436.6095066196285,0.1715252775275189,0.1827737823597011,-0.011248504832182205,0.7934550631314952,0.8578211581976916,-0.45461677302011094,-0.7704339319608702,0.6938232986417261,0.5822801517680759,121,32.79173369632471,0,5978066.123954104,59.78066123954104,2989.033061977052,0.3487376705836908,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step0.50_cool12,management,custom_weights,0.75,0.25,0.1,18,0.1,0.5,12,179345.50631314953,185782.11581976915,-6436.6095066196285,0.1715252775275189,0.1827737823597011,-0.011248504832182205,0.7934550631314952,0.8578211581976916,-0.45461677302011094,-0.7704339319608702,0.6938232986417261,0.5822801517680759,121,32.79173369632471,0,5978066.123954104,59.78066123954104,2989.033061977052,0.3487376705836908,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step1.00_cool0,management,custom_weights,0.75,0.25,0.1,18,0.1,1.0,0,172656.39927969538,185782.11581976915,-13125.716540073772,0.15951919999600395,0.1827737823597011,-0.02325458236369715,0.7265639927969538,0.8578211581976916,-0.4570154477105084,-0.7704339319608702,0.6586702920237043,0.5822801517680759,94,25.474569978963,0,5894672.868144279,58.94672868144279,2947.336434072139,0.3463590990407713,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step1.00_cool3,management,custom_weights,0.75,0.25,0.1,18,0.1,1.0,3,172656.39927969538,185782.11581976915,-13125.716540073772,0.15951919999600395,0.1827737823597011,-0.02325458236369715,0.7265639927969538,0.8578211581976916,-0.4570154477105084,-0.7704339319608702,0.6586702920237043,0.5822801517680759,94,25.474569978963,0,5894672.868144279,58.94672868144279,2947.336434072139,0.3463590990407713,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step1.00_cool6,management,custom_weights,0.75,0.25,0.1,18,0.1,1.0,6,172656.39927969538,185782.11581976915,-13125.716540073772,0.15951919999600395,0.1827737823597011,-0.02325458236369715,0.7265639927969538,0.8578211581976916,-0.4570154477105084,-0.7704339319608702,0.6586702920237043,0.5822801517680759,94,25.474569978963,0,5894672.868144279,58.94672868144279,2947.336434072139,0.3463590990407713,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.10_step1.00_cool12,management,custom_weights,0.75,0.25,0.1,18,0.1,1.0,12,172656.39927969538,185782.11581976915,-13125.716540073772,0.15951919999600395,0.1827737823597011,-0.02325458236369715,0.7265639927969538,0.8578211581976916,-0.4570154477105084,-0.7704339319608702,0.6586702920237043,0.5822801517680759,94,25.474569978963,0,5894672.868144279,58.94672868144279,2947.336434072139,0.3463590990407713,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.15_step0.25_cool0,management,custom_weights,0.75,0.25,0.1,18,0.15,0.25,0,181266.46057695747,185782.11581976915,-4515.655242811685,0.1749126954637943,0.1827737823597011,-0.00786108689590681,0.8126646057695748,0.8578211581976916,-0.43683643063865163,-0.7704339319608702,0.7215482366372078,0.5822801517680759,136,36.85682465041455,0,4945218.732902103,49.45218732902103,2472.6093664510518,0.3515436565810865,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.15_step0.25_cool3,management,custom_weights,0.75,0.25,0.1,18,0.15,0.25,3,181266.46057695747,185782.11581976915,-4515.655242811685,0.1749126954637943,0.1827737823597011,-0.00786108689590681,0.8126646057695748,0.8578211581976916,-0.43683643063865163,-0.7704339319608702,0.7215482366372078,0.5822801517680759,136,36.85682465041455,0,4945218.732902103,49.45218732902103,2472.6093664510518,0.3515436565810865,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.15_step0.25_cool6,management,custom_weights,0.75,0.25,0.1,18,0.15,0.25,6,181266.46057695747,185782.11581976915,-4515.655242811685,0.1749126954637943,0.1827737823597011,-0.00786108689590681,0.8126646057695748,0.8578211581976916,-0.43683643063865163,-0.7704339319608702,0.7215482366372078,0.5822801517680759,136,36.85682465041455,0,4945218.732902103,49.45218732902103,2472.6093664510518,0.3515436565810865,3.689954337899543,False,True,True
custom_weights_b0.75_c0.25_r0.10_m18_th0.15_step0.25_cool12,management,custom_weights,0.75,0.25,0.1,18,0.15,0.25,12,181266.46057695747,185782.11581976915,-4515.655242811685,0.1749126954637943,0.1827737823597011,-0.00786108689590681,0.8126646057695748,0.8578211581976916,-0.43683643063865163,-0.7704339319608702,0.7215482366372078,0.5822801517680759,136,36.85682465041455,0,4945218.732902103,49.45218732902103,2472.6093664510518,0.3515436565810865,3.689954337899543,False,True,True
